day,month,year,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y,age_group,uk_interest_rate,uk_unemployment_pct,uk_gdp_growth_pct,uk_inflation_pct,uk_avg_salary_gbp,uk_consumer_confidence,uk_household_debt_to_income
11,jun,2020,59,retired,married,,no,1033,no,no,,1199,1,-1,0,,1,56-65,0.1,4.9,−9.4,0.9,28500,−34,142.8
23,may,2020,35,self-employed,divorced,tertiary,no,1354,yes,no,,736,2,-1,0,,1,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
19,aug,2021,33,technician,single,tertiary,no,123,no,no,cellular,264,1,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
11,jun,2020,55,retired,married,primary,no,8894,no,no,,262,1,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
13,may,2020,41,blue-collar,married,secondary,no,429,yes,no,,244,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
19,may,2020,42,housemaid,married,primary,no,14752,no,no,,107,2,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
24,jun,2020,46,blue-collar,married,primary,no,67,no,no,,9,1,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
31,jul,2021,35,housemaid,divorced,secondary,no,39,no,no,cellular,149,2,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
28,jan,2018,28,technician,single,tertiary,no,102,no,no,cellular,321,2,-1,0,,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
17,apr,2019,25,student,single,secondary,no,1790,no,no,cellular,224,1,322,3,failure,0,18-25,0.75,3.8,1.6,1.8,29000,−14,137.1
29,apr,2019,56,management,single,tertiary,no,15311,no,no,cellular,157,6,-1,0,,0,56-65,0.75,3.8,1.6,1.8,29000,−14,137.1
25,jul,2021,30,admin.,single,secondary,no,-635,no,no,cellular,250,1,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
11,aug,2021,45,blue-collar,married,secondary,no,115,no,no,cellular,209,4,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
20,jun,2020,40,management,married,tertiary,no,10786,no,no,,111,3,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
8,may,2020,40,blue-collar,married,secondary,no,498,yes,no,cellular,55,2,298,4,failure,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
9,jul,2021,39,blue-collar,married,secondary,no,1045,yes,yes,cellular,290,13,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
6,jun,2020,48,entrepreneur,married,tertiary,no,810,no,no,,383,1,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
18,may,2020,31,technician,single,tertiary,no,-162,yes,no,cellular,380,1,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
2,feb,2018,32,management,married,tertiary,no,55,no,no,cellular,124,3,-1,0,,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
8,may,2020,34,services,married,secondary,no,586,yes,yes,,224,2,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
29,jan,2018,26,technician,single,secondary,no,455,no,no,cellular,240,1,182,8,other,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
15,may,2020,31,management,married,tertiary,no,1010,yes,no,cellular,385,3,364,9,other,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
6,may,2020,37,management,single,tertiary,no,509,yes,no,cellular,133,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
11,aug,2021,29,student,single,,no,2929,no,no,cellular,91,1,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
7,may,2020,57,technician,married,secondary,no,3071,yes,yes,cellular,63,3,-1,0,,0,56-65,0.1,4.9,−9.4,0.9,28500,−34,142.8
18,nov,2023,47,management,single,tertiary,no,153,yes,no,cellular,192,2,-1,0,,0,46-55,5.25,4.2,0.3,7.3,33000,−24,158.9
21,may,2020,38,self-employed,single,secondary,no,1146,yes,no,,91,2,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
18,nov,2023,48,blue-collar,married,primary,no,1092,no,yes,cellular,79,1,172,8,failure,0,46-55,5.25,4.2,0.3,7.3,33000,−24,158.9
28,oct,2022,50,management,married,tertiary,no,3463,no,yes,cellular,96,1,-1,0,,1,46-55,1.75,3.7,4.1,9.1,31000,−41,152.6
20,apr,2019,33,admin.,married,secondary,no,1158,yes,no,cellular,25,2,-1,0,,0,26-35,0.75,3.8,1.6,1.8,29000,−14,137.1
7,may,2020,28,admin.,single,secondary,no,26,yes,no,cellular,227,2,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
5,feb,2018,30,services,single,secondary,no,566,no,no,cellular,110,1,-1,0,,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
7,aug,2021,52,technician,divorced,secondary,no,204,no,no,cellular,134,2,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
20,oct,2022,36,technician,married,secondary,no,480,no,no,cellular,213,1,-1,0,,1,36-45,1.75,3.7,4.1,9.1,31000,−41,152.6
4,feb,2018,36,technician,single,secondary,no,1855,yes,no,cellular,75,1,273,1,failure,0,36-45,0.75,4.1,1.3,2.5,28200,−9,138.7
8,aug,2021,46,services,married,secondary,no,1034,no,no,cellular,109,2,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
20,aug,2021,57,management,married,tertiary,no,3250,no,no,cellular,162,3,-1,0,,0,56-65,0.1,4.5,7.5,2.6,29600,−15,145.3
5,jun,2020,28,management,single,secondary,no,1633,no,no,cellular,275,1,-1,0,,1,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
22,jun,2020,46,services,married,secondary,no,0,yes,no,cellular,154,1,124,1,other,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
14,aug,2021,55,retired,married,primary,no,3334,no,no,cellular,632,4,-1,0,,1,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
15,apr,2019,33,management,married,tertiary,no,4020,yes,yes,cellular,251,1,-1,0,,0,26-35,0.75,3.8,1.6,1.8,29000,−14,137.1
8,jul,2021,53,management,married,secondary,no,66,no,yes,telephone,141,1,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
3,apr,2019,41,technician,single,secondary,no,-41,yes,yes,cellular,154,1,-1,0,,0,36-45,0.75,3.8,1.6,1.8,29000,−14,137.1
7,may,2020,60,blue-collar,married,secondary,no,322,yes,no,cellular,63,1,-1,0,,0,56-65,0.1,4.9,−9.4,0.9,28500,−34,142.8
8,jul,2021,35,entrepreneur,married,primary,no,2643,no,yes,cellular,259,1,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
9,may,2020,43,blue-collar,divorced,primary,no,49,yes,no,,100,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
15,may,2020,57,admin.,divorced,primary,no,1,no,no,,17,10,-1,0,,0,56-65,0.1,4.9,−9.4,0.9,28500,−34,142.8
21,nov,2023,46,admin.,married,secondary,no,3098,yes,no,telephone,192,9,-1,0,,0,46-55,5.25,4.2,0.3,7.3,33000,−24,158.9
19,may,2020,31,blue-collar,married,primary,no,352,yes,no,,97,9,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
25,aug,2021,53,technician,married,secondary,no,65,no,no,cellular,41,2,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
2,jun,2020,35,blue-collar,married,secondary,no,1949,yes,no,,200,3,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
20,nov,2023,32,admin.,single,secondary,no,739,yes,no,cellular,91,3,-1,0,,0,26-35,5.25,4.2,0.3,7.3,33000,−24,158.9
1,jun,2020,48,management,married,tertiary,no,1167,yes,yes,cellular,264,1,-1,0,,1,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
21,nov,2023,50,admin.,married,secondary,no,231,yes,no,cellular,397,2,-1,0,,0,46-55,5.25,4.2,0.3,7.3,33000,−24,158.9
21,may,2020,40,blue-collar,married,primary,no,1136,yes,no,,86,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
5,feb,2018,42,entrepreneur,married,tertiary,no,233,no,no,cellular,446,1,-1,0,,0,36-45,0.75,4.1,1.3,2.5,28200,−9,138.7
9,apr,2019,59,admin.,married,secondary,no,817,no,no,cellular,304,1,-1,0,,0,56-65,0.75,3.8,1.6,1.8,29000,−14,137.1
30,jun,2020,27,blue-collar,single,primary,no,1128,yes,no,,88,4,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
20,apr,2019,32,management,single,tertiary,no,1831,yes,no,cellular,86,2,-1,0,,0,26-35,0.75,3.8,1.6,1.8,29000,−14,137.1
13,may,2020,35,technician,single,secondary,no,450,yes,no,cellular,63,1,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
5,may,2020,28,services,married,secondary,no,0,yes,no,cellular,335,2,281,8,failure,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
29,jan,2018,37,management,divorced,secondary,no,414,no,no,cellular,293,2,162,4,failure,0,36-45,0.75,4.1,1.3,2.5,28200,−9,138.7
13,may,2020,57,management,married,primary,no,1052,yes,no,,227,4,-1,0,,0,56-65,0.1,4.9,−9.4,0.9,28500,−34,142.8
5,may,2020,42,admin.,single,secondary,no,1022,yes,no,,146,2,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
14,jul,2021,55,admin.,married,primary,no,343,yes,no,cellular,276,3,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
15,apr,2019,52,management,married,tertiary,no,1944,yes,no,cellular,238,3,323,2,failure,0,46-55,0.75,3.8,1.6,1.8,29000,−14,137.1
31,jul,2021,26,blue-collar,single,secondary,no,-32,yes,yes,cellular,14,6,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
19,may,2020,52,technician,married,secondary,no,1781,yes,no,,144,2,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
8,jul,2021,26,management,single,tertiary,no,350,no,no,cellular,367,1,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
16,jul,2021,33,unemployed,married,secondary,no,2,yes,no,cellular,132,1,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
27,may,2020,24,blue-collar,single,primary,no,111,yes,yes,,42,4,-1,0,,0,18-25,0.1,4.9,−9.4,0.9,28500,−34,142.8
5,jun,2020,37,management,divorced,tertiary,no,168,yes,no,,227,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
18,may,2020,28,technician,single,secondary,no,3,no,no,telephone,40,8,349,6,failure,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
7,may,2020,30,technician,single,secondary,no,102,yes,no,,614,2,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
15,may,2020,33,blue-collar,married,primary,no,0,yes,no,,270,1,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
4,sep,2022,55,,married,primary,no,159,no,no,,15,1,-1,0,,0,46-55,1.75,3.7,4.1,9.1,31000,−41,152.6
23,may,2020,33,blue-collar,married,secondary,no,1134,yes,no,,304,2,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
11,may,2020,42,blue-collar,married,secondary,no,352,yes,no,cellular,79,3,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
3,jun,2020,37,management,married,tertiary,no,865,yes,no,cellular,101,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
5,may,2020,59,blue-collar,married,primary,no,179,yes,no,,55,3,-1,0,,0,56-65,0.1,4.9,−9.4,0.9,28500,−34,142.8
19,may,2020,27,blue-collar,single,secondary,no,5,yes,no,,205,3,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
18,may,2020,23,student,married,tertiary,yes,-230,yes,no,cellular,259,2,-1,0,,0,18-25,0.1,4.9,−9.4,0.9,28500,−34,142.8
13,aug,2021,51,management,divorced,tertiary,no,0,no,no,cellular,60,2,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
20,apr,2019,50,blue-collar,married,primary,no,3924,yes,no,cellular,122,2,-1,0,,0,46-55,0.75,3.8,1.6,1.8,29000,−14,137.1
14,jul,2021,43,technician,married,secondary,no,764,yes,no,cellular,557,5,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
11,may,2020,37,blue-collar,divorced,primary,no,511,yes,no,telephone,42,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
28,aug,2021,34,management,single,tertiary,no,4348,yes,no,cellular,373,8,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
14,jul,2021,41,management,married,tertiary,no,3016,yes,no,cellular,80,3,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
7,may,2020,26,student,single,secondary,no,279,no,no,cellular,239,3,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
8,jun,2020,49,management,divorced,tertiary,no,1405,no,no,,29,1,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
20,jun,2020,29,blue-collar,single,secondary,no,908,yes,no,,1663,1,-1,0,,1,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
20,may,2020,30,management,single,tertiary,no,162,yes,no,,186,4,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
6,jun,2020,38,services,divorced,secondary,no,792,no,no,,430,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
24,mar,2019,58,management,married,secondary,no,111,no,no,telephone,58,2,-1,0,,0,56-65,0.75,3.8,1.6,1.8,29000,−14,137.1
25,aug,2021,34,student,single,,no,1281,no,no,cellular,279,1,117,1,failure,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
28,jul,2021,53,services,divorced,,no,1012,yes,no,cellular,332,2,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
5,aug,2021,50,management,married,tertiary,no,2881,no,no,cellular,510,2,2,5,other,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
16,apr,2019,30,blue-collar,single,secondary,no,445,yes,no,cellular,218,1,330,2,failure,0,26-35,0.75,3.8,1.6,1.8,29000,−14,137.1
17,apr,2019,40,management,married,secondary,no,643,yes,no,cellular,74,2,256,1,failure,0,36-45,0.75,3.8,1.6,1.8,29000,−14,137.1
8,oct,2022,57,housemaid,single,secondary,no,254,no,no,cellular,676,1,-1,0,,0,56-65,1.75,3.7,4.1,9.1,31000,−41,152.6
15,may,2020,40,management,married,tertiary,no,-1212,yes,no,cellular,1259,2,333,18,failure,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
21,nov,2023,41,technician,married,secondary,no,2125,yes,yes,cellular,285,3,116,4,failure,0,36-45,5.25,4.2,0.3,7.3,33000,−24,158.9
8,may,2020,53,technician,divorced,,no,629,yes,no,cellular,298,1,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
30,jul,2021,48,blue-collar,married,secondary,no,-202,yes,yes,cellular,225,4,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
13,may,2020,32,technician,single,secondary,no,271,yes,no,cellular,80,2,268,2,other,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
14,apr,2019,34,management,married,tertiary,no,703,yes,no,cellular,342,1,-1,0,,1,26-35,0.75,3.8,1.6,1.8,29000,−14,137.1
28,jul,2021,46,blue-collar,married,secondary,no,-216,yes,no,cellular,404,3,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
7,jul,2021,45,services,divorced,secondary,no,88,no,yes,cellular,332,1,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
30,jan,2018,51,admin.,single,tertiary,no,16,yes,no,cellular,158,1,-1,0,,0,46-55,0.75,4.1,1.3,2.5,28200,−9,138.7
14,may,2020,31,management,married,secondary,no,466,yes,no,cellular,164,1,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
4,feb,2018,47,technician,married,secondary,no,-75,yes,no,cellular,57,1,247,1,other,0,46-55,0.75,4.1,1.3,2.5,28200,−9,138.7
12,may,2020,32,blue-collar,married,secondary,no,456,no,no,cellular,121,1,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
7,may,2020,41,technician,married,secondary,no,77,yes,no,cellular,56,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
3,jul,2021,37,services,single,secondary,no,-244,no,no,,178,1,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
29,jan,2018,27,blue-collar,single,primary,no,1209,no,no,cellular,283,1,-1,0,,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
7,may,2020,27,services,married,secondary,no,58,yes,no,cellular,113,1,337,2,other,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
20,nov,2023,50,management,married,secondary,yes,421,no,no,cellular,22,5,-1,0,,0,46-55,5.25,4.2,0.3,7.3,33000,−24,158.9
2,feb,2018,31,management,single,tertiary,no,112,yes,no,cellular,159,2,271,1,failure,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
15,oct,2022,40,self-employed,married,tertiary,no,13669,no,no,cellular,138,1,136,8,other,0,36-45,1.75,3.7,4.1,9.1,31000,−41,152.6
19,nov,2023,43,management,married,tertiary,no,1429,yes,no,cellular,1015,1,198,2,other,1,36-45,5.25,4.2,0.3,7.3,33000,−24,158.9
2,feb,2018,39,technician,married,tertiary,no,794,no,no,telephone,182,1,-1,0,,0,36-45,0.75,4.1,1.3,2.5,28200,−9,138.7
4,feb,2018,31,entrepreneur,single,tertiary,no,1957,no,no,cellular,112,3,-1,0,,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
10,jul,2021,48,technician,married,secondary,no,454,yes,no,cellular,114,1,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
29,jul,2021,32,blue-collar,single,primary,no,882,no,yes,cellular,80,8,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
30,jan,2018,47,unemployed,married,primary,no,168,yes,no,telephone,66,1,241,1,other,0,46-55,0.75,4.1,1.3,2.5,28200,−9,138.7
26,aug,2021,35,management,single,tertiary,no,714,yes,no,cellular,135,22,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
7,sep,2022,42,management,single,tertiary,no,0,no,no,cellular,99,1,-1,0,,0,36-45,1.75,3.7,4.1,9.1,31000,−41,152.6
5,jun,2020,47,blue-collar,married,secondary,no,1996,no,no,,761,2,-1,0,,1,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
24,jul,2021,59,retired,married,secondary,no,163,no,no,cellular,464,1,-1,0,,0,56-65,0.1,4.5,7.5,2.6,29600,−15,145.3
20,jun,2020,38,admin.,married,secondary,no,3190,yes,no,,20,2,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
29,jul,2021,50,unemployed,married,secondary,no,1772,no,no,cellular,206,4,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
8,jul,2021,27,services,single,secondary,no,-151,no,no,cellular,283,2,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
20,jun,2020,55,housemaid,married,primary,no,16,no,no,,64,1,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
15,may,2020,39,services,single,secondary,no,7066,yes,no,cellular,667,3,357,3,other,1,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
4,feb,2018,31,technician,single,tertiary,no,454,no,no,cellular,73,3,-1,0,,0,26-35,0.75,4.1,1.3,2.5,28200,−9,138.7
20,may,2020,37,entrepreneur,married,tertiary,no,4798,yes,no,,156,2,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
3,jun,2020,28,technician,single,secondary,yes,-298,yes,no,,559,7,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
20,aug,2021,42,technician,married,secondary,no,439,no,no,cellular,143,2,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
15,may,2020,40,services,divorced,secondary,no,1927,yes,no,,62,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
29,jan,2018,59,management,single,secondary,no,671,yes,yes,cellular,219,2,259,5,failure,0,56-65,0.75,4.1,1.3,2.5,28200,−9,138.7
15,may,2020,40,services,single,secondary,no,65,yes,no,cellular,15,3,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
16,apr,2019,43,technician,married,secondary,no,-932,yes,no,cellular,567,1,-1,0,,0,36-45,0.75,3.8,1.6,1.8,29000,−14,137.1
29,jul,2021,38,technician,single,secondary,no,4366,yes,no,cellular,188,2,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
11,jul,2021,54,retired,married,primary,no,0,yes,no,cellular,159,2,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
31,jul,2021,41,blue-collar,married,secondary,no,4900,yes,no,telephone,121,2,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
28,jun,2020,55,housemaid,divorced,primary,no,976,no,no,cellular,345,1,94,3,other,1,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
20,may,2020,33,management,married,tertiary,no,148,no,no,,717,1,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
18,aug,2021,46,blue-collar,married,secondary,no,5,no,no,cellular,71,3,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
18,nov,2023,36,management,married,secondary,no,-148,no,no,cellular,144,2,-1,0,,0,36-45,5.25,4.2,0.3,7.3,33000,−24,158.9
22,jul,2021,48,technician,divorced,tertiary,no,113,no,yes,cellular,38,1,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
28,aug,2021,42,management,married,secondary,no,-105,yes,no,cellular,60,2,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
17,sep,2022,46,management,divorced,tertiary,no,624,no,no,cellular,336,2,183,2,success,1,46-55,1.75,3.7,4.1,9.1,31000,−41,152.6
27,jun,2020,49,technician,married,secondary,yes,-1680,yes,yes,,92,4,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
11,may,2020,36,blue-collar,married,secondary,no,-461,no,no,cellular,254,2,353,1,failure,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
14,oct,2022,34,technician,single,tertiary,no,144,yes,yes,cellular,104,1,85,19,failure,0,26-35,1.75,3.7,4.1,9.1,31000,−41,152.6
20,apr,2019,51,entrepreneur,divorced,tertiary,no,4,yes,yes,cellular,74,5,-1,0,,0,46-55,0.75,3.8,1.6,1.8,29000,−14,137.1
19,aug,2021,58,blue-collar,married,primary,no,309,no,no,cellular,156,2,-1,0,,0,56-65,0.1,4.5,7.5,2.6,29600,−15,145.3
29,jan,2018,48,management,married,tertiary,no,866,no,no,cellular,146,2,-1,0,,0,46-55,0.75,4.1,1.3,2.5,28200,−9,138.7
19,may,2020,41,admin.,single,secondary,no,1020,yes,no,,882,1,-1,0,,1,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
27,may,2020,49,self-employed,married,primary,no,489,yes,no,,84,4,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
19,may,2020,43,management,married,primary,no,8167,yes,no,,114,2,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
2,jul,2021,32,blue-collar,single,secondary,no,-255,no,yes,,957,3,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
11,jun,2020,54,retired,married,secondary,no,3671,no,no,,67,3,-1,0,,0,46-55,0.1,4.9,−9.4,0.9,28500,−34,142.8
9,jul,2021,33,blue-collar,divorced,primary,no,636,yes,no,cellular,211,11,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
19,aug,2021,35,technician,married,secondary,no,141,yes,no,cellular,299,2,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
11,may,2020,56,technician,married,secondary,no,150,yes,yes,cellular,102,6,349,1,failure,0,56-65,0.1,4.9,−9.4,0.9,28500,−34,142.8
5,may,2020,57,technician,married,secondary,no,839,no,yes,,225,1,-1,0,,0,56-65,0.1,4.9,−9.4,0.9,28500,−34,142.8
21,apr,2019,31,housemaid,single,primary,no,26965,no,no,cellular,654,2,-1,0,,1,26-35,0.75,3.8,1.6,1.8,29000,−14,137.1
14,may,2020,33,technician,single,secondary,no,716,yes,no,cellular,234,2,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
24,jul,2021,29,technician,single,tertiary,no,2485,no,no,telephone,48,6,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
13,may,2020,38,management,single,tertiary,no,15030,yes,no,cellular,167,1,174,7,other,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
26,may,2020,37,admin.,married,secondary,no,11303,no,no,cellular,500,2,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
7,aug,2021,33,entrepreneur,married,tertiary,no,595,no,no,cellular,22,2,-1,0,,0,26-35,0.1,4.5,7.5,2.6,29600,−15,145.3
19,nov,2023,30,management,single,tertiary,no,19358,no,no,cellular,258,2,-1,0,,0,26-35,5.25,4.2,0.3,7.3,33000,−24,158.9
19,nov,2023,31,self-employed,single,secondary,no,203,no,yes,cellular,177,1,-1,0,,0,26-35,5.25,4.2,0.3,7.3,33000,−24,158.9
28,may,2020,28,technician,single,tertiary,no,183,yes,yes,,62,2,-1,0,,0,26-35,0.1,4.9,−9.4,0.9,28500,−34,142.8
30,apr,2019,26,admin.,single,secondary,no,255,no,no,cellular,457,1,80,1,success,1,26-35,0.75,3.8,1.6,1.8,29000,−14,137.1
17,apr,2019,31,technician,single,secondary,no,102,yes,no,telephone,460,2,345,2,failure,0,26-35,0.75,3.8,1.6,1.8,29000,−14,137.1
22,jul,2021,50,housemaid,divorced,primary,no,94,yes,no,cellular,184,4,-1,0,,0,46-55,0.1,4.5,7.5,2.6,29600,−15,145.3
13,may,2020,45,entrepreneur,married,primary,no,58,yes,no,telephone,119,3,371,3,failure,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
5,mar,2019,48,management,married,primary,no,606,no,no,cellular,77,6,-1,0,,0,46-55,0.75,3.8,1.6,1.8,29000,−14,137.1
23,jul,2021,41,technician,married,secondary,no,0,no,yes,cellular,107,1,-1,0,,0,36-45,0.1,4.5,7.5,2.6,29600,−15,145.3
9,may,2020,60,technician,married,primary,no,65,yes,no,,1028,2,-1,0,,1,56-65,0.1,4.9,−9.4,0.9,28500,−34,142.8
14,may,2020,41,blue-collar,married,secondary,no,338,yes,no,,87,1,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
9,may,2020,43,blue-collar,married,primary,no,757,yes,no,,315,4,-1,0,,0,36-45,0.1,4.9,−9.4,0.9,28500,−34,142.8
19,nov,2023,36,management,married,tertiary,no,9269,yes,yes,cellular,107,2,-1,0,,0,36-45,5.25,4.2,0.3,7.3,33000,−24,158.9
